city,county,zip,slug,lat,lng,nearby_cities,permit_office,permit_phone,permit_website,neighborhoods,city_note
Anaheim,Orange,92801,anaheim,33.8366,-117.9143,"Santa Ana, Fullerton, Garden Grove",Anaheim Building Division,(714) 765-5153,anaheim.net/1085/Building,"Anaheim Hills, Platinum Triangle, Colony District, West Anaheim",Anaheim permits are processed through the city's online portal. Pool and structure demolitions typically require a grading permit in addition to the standard demo permit. HOA approval is required in Anaheim Hills communities.
Santa Ana,Orange,92701,santa-ana,33.7455,-117.8677,"Anaheim, Irvine, Orange",Santa Ana Planning & Building Agency,(714) 647-5800,santa-ana.org/pba,"Downtown Santa Ana, Floral Park, Fairview Village, South Coast Metro","Santa Ana is a dense urban city with many pre-1980 structures — asbestos testing is required before any demolition. The city's building department processes permits quickly for residential projects, typically within 5-10 business days."
Irvine,Orange,92618,irvine,33.6846,-117.8265,"Santa Ana, Tustin, Lake Forest",City of Irvine Community Development,(949) 724-6000,cityofirvine.org/permits,"Woodbridge, Turtle Rock, Northwood, Quail Hill, Portola Springs",Irvine is a master-planned community with strict HOA oversight in most neighborhoods. All exterior demolition projects require HOA approval before the city will issue a permit. IUSD and city noise ordinances restrict demo hours to 7AM-8PM weekdays.
Orange,Orange,92868,orange,33.7879,-117.8531,"Anaheim, Santa Ana, Fullerton",City of Orange Building Division,(714) 744-7220,cityoforange.org/building,"Old Towne Orange, Villa Park border, Panorama Heights, Santiago Hills","Old Towne Orange is a historic district with special review requirements for any exterior demolition. Outside the historic core, permits are standard. Many older homes in Orange have asbestos and lead paint requiring pre-demo abatement."
Fullerton,Orange,92832,fullerton,33.8703,-117.9253,"Anaheim, Brea, Placentia",City of Fullerton Building & Safety,(714) 738-6547,cityoffullerton.com/build,"Downtown Fullerton, Sunny Hills, Amerige Heights, Hermosa Drive Corridor",Fullerton has a significant stock of 1950s-1970s residential properties. Pre-demolition asbestos surveys are strongly recommended. The city processes permits in-person and online; same-day over-the-counter permits are available for small interior demo projects.
Garden Grove,Orange,92840,garden-grove,33.7739,-117.9378,"Anaheim, Westminster, Santa Ana",Garden Grove Building & Safety,(714) 741-5200,ggcity.org/building,"West Garden Grove, Brookhurst Corridor, Little Saigon border, Stanford Square","Garden Grove has a mix of residential and light commercial properties, many built in the 1960s-70s. The city requires a separate grading permit for any work affecting drainage. Permits for pool demolition typically take 2-3 weeks."
Huntington Beach,Orange,92648,huntington-beach,33.6603,-118.0,"Costa Mesa, Newport Beach, Fountain Valley",Huntington Beach Building & Safety,(714) 536-5241,huntingtonbeachca.gov/residents/building,"Surf City, Bolsa Chica, Seacliff, Downtown HB, Huntington Harbour",Huntington Beach coastal properties may require California Coastal Commission review for exterior demolition near the shoreline. Interior and pool demolitions follow standard city permit process. HB enforces strict noise ordinances — demo allowed 7AM-8PM Mon-Sat only.
Costa Mesa,Orange,92626,costa-mesa,33.6411,-117.9187,"Irvine, Newport Beach, Huntington Beach",Costa Mesa Building Division,(714) 754-5276,costamesaca.gov/building,"Mesa Verde, Eastside, South Coast Metro, Westside",Costa Mesa has many older residential properties along its westside. The city has an active permit program and generally fast turnaround for residential demo permits. Mesa Verde HOA communities require board approval for exterior work.
Newport Beach,Orange,92660,newport-beach,33.6189,-117.9289,"Costa Mesa, Irvine, Laguna Beach",Newport Beach Community Development,(949) 644-3200,newportbeachca.gov/permits,"Balboa Island, Corona del Mar, Newport Heights, Big Canyon, Newport Coast",Newport Beach coastal and harbor properties are subject to Harbor Commission and Coastal Commission review. Interior demolitions on hillside or bay-adjacent properties require special grading review. Premium waterfront lots command higher permit fees.
Laguna Beach,Orange,92651,laguna-beach,33.5422,-117.7831,"Newport Beach, Aliso Viejo, Dana Point",Laguna Beach Building & Safety,(949) 497-0323,lagunabeachcity.net/city_hall/building,"Downtown Arts District, Arch Beach Heights, Temple Hills, North Laguna",Laguna Beach is in a high fire hazard severity zone — all demo projects near hillside areas require fire department clearance. Many properties are on steep lots requiring specialized equipment and additional safety measures.
Mission Viejo,Orange,92691,mission-viejo,33.6,-117.6719,"Lake Forest, Laguna Niguel, Aliso Viejo",City of Mission Viejo Building & Safety,(949) 470-3053,cityofmissionviejo.org/build,"Montiel, La Paz, Casta del Sol, Olympiad",Mission Viejo is predominantly HOA-governed. All exterior projects including pool removals require HOA approval before permit issuance. The city's senior population means many properties have pools installed in the 1970s-80s that are now past their useful life.
Lake Forest,Orange,92630,lake-forest,33.6469,-117.6891,"Irvine, Mission Viejo, Foothill Ranch",City of Lake Forest Building & Safety,(949) 461-3480,lakeforestca.gov/building,"Baker Ranch, Foothill Ranch, Portola Hills, El Toro",Lake Forest is home to many planned communities with active HOAs. The city merged portions of El Toro — older El Toro-area properties often have asbestos in textured ceilings and flooring. Permit applications are processed online through the city's permit portal.
Tustin,Orange,92780,tustin,33.7458,-117.8231,"Irvine, Santa Ana, Orange",City of Tustin Building Division,(714) 573-3120,tustinca.org/building,"Old Town Tustin, Tustin Legacy, Columbus Square, Laurelwood",Tustin Legacy (former Marine Corps Air Station) has unique redevelopment permit requirements. Old Town Tustin has a historic district with design review. Residential demolitions in standard neighborhoods follow typical OC permit timelines.
Westminster,Orange,92683,westminster,33.7514,-117.9939,"Garden Grove, Huntington Beach, Fountain Valley",City of Westminster Building & Safety,(714) 895-2876,westminster.ca.gov/building,"Little Saigon, Midway City border, Central Westminster, Starvation Flats",Westminster's commercial corridor along Bolsa Ave is densely developed. Many older residential properties (1950s-1970s) may contain asbestos materials. Residential pool removals are common as homeowners update aging backyard infrastructure.
Fountain Valley,Orange,92708,fountain-valley,33.7092,-117.9536,"Huntington Beach, Costa Mesa, Westminster",Fountain Valley Building & Safety,(714) 593-4446,fountainvalley.org/190/building,"Bushard Street Corridor, FV Recreation District, Mile Square area, Gisler area",Fountain Valley is a quiet residential community with mostly 1960s-80s single-family homes. Many properties have aging pools and hardscape. The city offers expedited permit review for projects that schedule inspections in advance.
Buena Park,Orange,90620,buena-park,33.8675,-117.9981,"Fullerton, Anaheim, La Palma",Buena Park Building & Safety,(714) 562-3620,buenapark.com/building,"Knott's Berry Farm area, Entertainment Corridor, Magnolia Park, Dale Street Corridor",Buena Park has a commercial entertainment zone and dense residential areas. Residential demolitions near the commercial corridor may have noise mitigation requirements. The city processes permits efficiently for standard residential projects.
La Habra,Orange,90631,la-habra,33.9319,-117.9462,"Fullerton, Brea, Whittier",City of La Habra Building & Safety,(562) 383-4120,lahabraca.gov/building,"La Habra Heights border, Central La Habra, Harbor Blvd Corridor, East La Habra",La Habra straddles the LA-Orange County border. Some addresses use Los Angeles County building jurisdiction. Confirm your city vs. county jurisdiction before permit application. Residential structures from the 1960s-70s are common and may require asbestos testing.
Brea,Orange,92821,brea,33.9167,-117.9,"Fullerton, Placentia, La Habra",City of Brea Building & Safety,(714) 990-7683,cityofbrea.net/building,"Olinda Ranch, Brea Hills, Central Brea, North Brea",Brea is positioned in a hillside area — properties on slopes may require geotechnical review before issuing demo permits. The city's oil field history means some older lots have abandoned wells that must be identified before ground disturbance.
Placentia,Orange,92870,placentia,33.8722,-117.8703,"Fullerton, Anaheim, Brea",City of Placentia Building & Safety,(714) 993-8117,placentia.org/building,"Downtown Placentia, Bradford Place, Kraemer Hills, Ruby Drive area","Placentia is a mid-sized residential city with mostly tract housing from the 1960s-80s. Permits for standard residential demolitions are processed quickly. The city has an older housing stock, so pre-demo asbestos surveys are recommended."
Aliso Viejo,Orange,92656,aliso-viejo,33.5769,-117.7256,"Laguna Beach, Mission Viejo, Laguna Niguel",City of Aliso Viejo Building & Safety,(949) 425-2530,cityofalisoviejo.com/building,"Glenwood, Pacific Ridge, Canyon Vistas, Bear Brand",Aliso Viejo is entirely master-planned with strong HOA oversight. Every exterior demolition project — including pool removals — requires HOA architectural committee approval. The city is newer (mostly 1990s-2000s construction) so asbestos is less common.
Laguna Niguel,Orange,92677,laguna-niguel,33.5225,-117.7072,"Mission Viejo, Laguna Beach, Dana Point",City of Laguna Niguel Building & Safety,(949) 362-4330,lagunaniguelcity.net/building,"Laguna Sur, Marina Hills, Bear Brand Ranch, Crown Valley area",Laguna Niguel is a planned community with multiple active HOAs. Projects near the coast may require Coastal Commission review. The city's terrain is hilly — projects on sloped lots require a grading permit in addition to the demo permit.
Dana Point,Orange,92629,dana-point,33.4669,-117.6981,"Laguna Niguel, San Clemente, Laguna Beach",City of Dana Point Building & Safety,(949) 248-3574,danapoint.org/building,"Dana Point Harbor, Capistrano Beach, Lantern District, Pacific Island",Dana Point coastal properties are subject to Coastal Commission review for exterior demolitions. The harbor area has additional marina-adjacent regulations. Interior demolitions in older homes (pre-1985) should include asbestos and lead paint surveys.
San Clemente,Orange,92672,san-clemente,33.4269,-117.6119,"Dana Point, San Juan Capistrano, Laguna Niguel",City of San Clemente Building & Safety,(949) 361-8200,san-clemente.org/building,"Downtown San Clemente, Talega, Marblehead, North Beach","San Clemente is on the southern end of OC, roughly 60 minutes from C&S base in Long Beach. The city has hillside terrain requiring grading permits for many exterior projects. Coastal development permits may be required for properties near the ocean."
San Juan Capistrano,Orange,92675,san-juan-capistrano,33.5017,-117.6625,"Dana Point, San Clemente, Mission Viejo",City of San Juan Capistrano Building & Safety,(949) 443-6355,sanjuancapistrano.org/building,"Historic Town Center, Capistrano Beach border, Ortega Corridor, Rancho Mission Viejo border",San Juan Capistrano has a historic downtown area with design review requirements. Properties near the mission and historic district require additional review for exterior demolition. Many ranch-style properties in the foothills have older structures ready for removal.
Yorba Linda,Orange,92886,yorba-linda,33.8886,-117.8133,"Placentia, Anaheim, Brea",City of Yorba Linda Building & Safety,(714) 961-7170,yorbalindaca.gov/building,"East Lake Village, Black Gold, Fairmont, Savi Ranch",Yorba Linda is known as the 'Land of Gracious Living' with large lot residential properties. Many homes have aging pools from the 1980s. HOA communities require architectural approval. The city's hilly terrain means grading permits are often required alongside demo permits.
Cypress,Orange,90630,cypress,33.8169,-118.0375,"Buena Park, Stanton, La Palma",City of Cypress Building & Safety,(714) 229-6712,cypressca.org/building,"Lexington Square, Cypress Crossings, Ross Street Corridor, Katella area","Cypress is a small, dense residential city between Buena Park and Garden Grove. Properties are mostly post-WWII tract homes. The city processes residential permits quickly. Older homes may have popcorn ceilings and floor tile containing asbestos."
Stanton,Orange,90680,stanton,33.8025,-117.9931,"Garden Grove, Cypress, Buena Park",City of Stanton Building & Safety,(714) 379-9222,ci.stanton.ca.us/building,"Greater Stanton, Western area, Dale Street Corridor, Magnolia Ave area","Stanton is one of OC's smaller, denser cities. Most residential properties are 1950s-1970s vintage. Pre-demo asbestos surveys are highly recommended for these older structures. The city has a streamlined permit process for residential demolitions."
Los Alamitos,Orange,90720,los-alamitos,33.7975,-118.0725,"Cypress, Seal Beach, Long Beach",City of Los Alamitos Building & Safety,(562) 431-3538,cityoflosalamitos.org/building,"Rossmoor border, Central Los Alamitos, Seal Beach border, Katella area",Los Alamitos is a small residential community bordering Seal Beach and Long Beach. Close proximity to C&S base means fast mobilization times. The city has older single-family homes with aging pools and detached structures ready for removal.
Seal Beach,Orange,90740,seal-beach,33.7414,-118.1047,"Long Beach, Huntington Beach, Los Alamitos",City of Seal Beach Building & Safety,(562) 431-2527,sealbeachca.gov/building,"Old Town Seal Beach, Leisure World, Surfside Colony, College Park","Seal Beach has a unique mix: Old Town has older beachside homes, and Leisure World is a large senior community with its own HOA rules. Coastal properties near the beach require additional review. Leisure World projects require HOA and community management approval."
Rancho Santa Margarita,Orange,92688,rancho-santa-margarita,33.6408,-117.6033,"Mission Viejo, Lake Forest, Coto de Caza",City of Rancho Santa Margarita Building & Safety,(949) 635-1800,cityofrsm.org/building,"Las Flores, Trabuco Highlands, Coto de Caza border, Dove Canyon border","Rancho Santa Margarita is entirely HOA-governed. All exterior projects require approval from the SAMLARC community association. The city is newer (1980s-1990s construction), making asbestos less of a concern but HOA compliance critical to project timeline."
Northwood,Orange,92620,northwood,33.7283,-117.7838,"Irvine, Tustin, Lake Forest",City of Irvine Community Development,(949) 724-6000,cityofirvine.org/permits,"Northwood Village, Northwood Pointe, Harvard Square, Orangetree",Northwood is a planned village within the city of Irvine with strong HOA oversight. All exterior demolition projects require HOA approval before city permit issuance. Irvine's master plan governs all development in Northwood.
Portola Springs,Orange,92618,portola-springs,33.6957,-117.7441,"Irvine, Lake Forest, Foothill Ranch",City of Irvine Community Development,(949) 724-6000,cityofirvine.org/permits,"Portola Springs, Solis Park, Salerno, Castillo",Portola Springs is one of Irvine's newer planned villages with active HOA management. Most homes are 2005-present construction. Interior and pool demolitions require HOA approval and then city permit. Newer construction means low asbestos risk.
Quail Hill,Orange,92603,quail-hill,33.6513,-117.7853,"Irvine, Laguna Beach, Laguna Woods",City of Irvine Community Development,(949) 724-6000,cityofirvine.org/permits,"Quail Hill, Turtle Ridge, Shady Canyon border, Great Park border",Quail Hill is a hillside planned community within Irvine. Strong HOA rules govern all exterior work. Properties on hillside lots may require grading permits in addition to standard demo permits. Premium community with newer 1990s-2000s construction.
Turtle Rock,Orange,92612,turtle-rock,33.6574,-117.8242,"Irvine, Newport Beach, University Park",City of Irvine Community Development,(949) 724-6000,cityofirvine.org/permits,"Turtle Rock, Turtle Ridge, San Joaquin Hills, UCI area",Turtle Rock is one of Irvine's original planned villages. Homes range from 1970s-1990s. HOA approval required for all exterior demolition. Some older Turtle Rock homes may have asbestos in textured ceilings and older HVAC insulation.
Woodbridge,Orange,92604,woodbridge,33.6975,-117.8103,"Irvine, Tustin, Lake Forest",City of Irvine Community Development,(949) 724-6000,cityofirvine.org/permits,"Woodbridge Village, Eastwood, Willowgrove, North Woodbridge",Woodbridge is a lakeside planned village within Irvine centered around two lakes. HOA rules are strictly enforced. Pool removal and deck demolition are common as homeowners update 1980s-era infrastructure. The Woodbridge Village Association must approve all exterior work.
Los Angeles,Los Angeles,90001,los-angeles,34.0522,-118.2437,"Burbank, Glendale, Pasadena",LA City Building & Safety (LADBS),(213) 482-0000,ladbs.org,"Downtown LA, Silver Lake, Echo Park, Mid-City, Koreatown, Boyle Heights, San Fernando Valley",Los Angeles City uses LADBS for all permits and has a large volume of aging structures (pre-1980) requiring asbestos and lead paint surveys before demolition. The city processes permits online through LADBS e-Permit portal. Pool demolitions in LA require both building and grading permits.
Long Beach,Los Angeles,90801,long-beach,33.7701,-118.1937,"Compton, Carson, Signal Hill",Long Beach Development Services,(562) 570-6245,longbeach.gov/lbds,"Signal Hill, Bixby Knolls, Belmont Shore, Naples Island, North Long Beach, Los Cerritos","Long Beach is C&S Demolition's home base — we know LB permits, inspectors, and building codes inside and out. The city's older housing stock (Craftsman, Victorian, mid-century) frequently requires asbestos and lead paint surveys. Fast response and same-week availability throughout Long Beach."
Glendale,Los Angeles,91201,glendale,34.1425,-118.2551,"Burbank, Pasadena, Los Angeles",Glendale Development Services,(818) 548-2030,glendaleca.gov/permits,"Montrose, Verdugo Woodlands, Adams Hill, Rossmoyne, Downtown Glendale",Glendale has many hillside properties that require geo-technical review before permits are issued for demolition. The city's Montrose and Verdugo Hills areas have older Craftsman and Spanish Colonial homes that commonly need pre-demo asbestos surveys.
Burbank,Los Angeles,91501,burbank,34.1808,-118.3089,"Glendale, Pasadena, North Hollywood",City of Burbank Building Division,(818) 238-5220,burbankca.gov/pcd/building,"Magnolia Park, Downtown Burbank, Hollywood Way Corridor, Rancho Neighborhood, Chandler Park",Burbank is home to major entertainment studios. The city has strict noise ordinances near studio facilities. Residential demolitions in standard neighborhoods follow typical LA County timelines. Many 1940s-60s homes in Burbank's older neighborhoods need asbestos testing.
Pasadena,Los Angeles,91101,pasadena,34.1478,-118.1445,"Arcadia, Monrovia, Temple City",City of Pasadena Building & Safety,(626) 744-4200,cityofpasadena.net/permits,"Old Pasadena, Bungalow Heaven, Madison Heights, Caltech area, Rose Bowl area",Pasadena has a historic preservation overlay — Craftsman bungalows and California Colonials in historic districts require design review board approval before exterior demolition. Non-historic properties follow standard LA County permitting timelines. Pre-1978 structures require asbestos and lead paint surveys.
Torrance,Los Angeles,90501,torrance,33.8358,-118.3406,"Carson, Redondo Beach, Lawndale",City of Torrance Community Development,(310) 618-5990,torranceca.gov/permits,"Old Torrance, Southwood, Hollywood Riviera, North Torrance, West Torrance",Torrance has a mix of post-WWII tract homes and newer development in South Bay. Many properties have aging pools (1960s-1980s) and older structures. The city's online permit portal streamlines the application process. Hollywood Riviera properties near the coast may have additional review requirements.
Pomona,Los Angeles,91766,pomona,34.0553,-117.7498,"Ontario, Montclair, Diamond Bar",City of Pomona Building & Safety,(909) 620-2181,ci.pomona.ca.us/index.aspx/building,"Lincoln Park, Pomona Valley, Ganesha Hills, Downtown Pomona, Casa Blanca","Pomona has a large inventory of older residential and commercial properties, many dating to the early 20th century. Pre-demo asbestos and lead paint surveys are frequently required. The city is approximately 35-40 minutes from C&S's Long Beach base."
El Monte,Los Angeles,91731,el-monte,34.0686,-118.0275,"Baldwin Park, Arcadia, Temple City",City of El Monte Building & Safety,(626) 580-2086,ci.el-monte.ca.us/community/building,"South El Monte border, Downtown El Monte, Norwood, Mountain View area","El Monte is a dense, older city in the San Gabriel Valley with many industrial and commercial parcels alongside residential. The city has a high proportion of pre-1980 structures. Permits are processed at the city's Development Services counter."
Downey,Los Angeles,90240,downey,33.9400,-118.1328,"Norwalk, Paramount, Bellflower",City of Downey Building & Safety,(562) 904-7170,downeyca.org/permits,"Downtown Downey, Stonewood, South Downey, Paramount border, Bellflower border",Downey is a strong residential market with significant mid-century housing stock. Many properties have original 1950s-1970s pools and detached structures. The city processes permits efficiently; demolition permits for standard residential projects typically take 1-2 weeks.
Inglewood,Los Angeles,90301,inglewood,34.0200,-118.3500,"Hawthorne, Lennox, Compton",City of Inglewood Building & Safety,(310) 412-5280,cityofinglewood.org/building,"Hollywood Park, Downtown Inglewood, Morningside Park, Centinela Valley",Inglewood is experiencing rapid development with SoFi Stadium and The Forum driving real estate investment. Many older properties are being cleared for redevelopment. The city has a fast-track program for certain permit types. Older homes in the area frequently require asbestos surveys.
West Covina,Los Angeles,91790,west-covina,34.0686,-117.9386,"Covina, Baldwin Park, Azusa",City of West Covina Building & Safety,(626) 939-8400,westcovinavotes.com/permits,"South Hills, Shadow Oak, Sunset Hills, Downtown West Covina",West Covina is a suburban San Gabriel Valley city with predominantly 1950s-1980s housing. The city has active HOA communities in the South Hills area. Residential pool removals are common as homeowners convert yards to usable space. Permits processed at City Hall.
Norwalk,Los Angeles,90650,norwalk,33.9022,-118.0817,"Downey, Whittier, La Mirada",City of Norwalk Building & Safety,(562) 929-5730,norwalkca.gov/building,"Downtown Norwalk, Studebaker Road Corridor, Fronteras, East Norwalk",Norwalk is a working-class residential city in southeast LA County. The housing stock is primarily 1950s-1970s. Pool removal and concrete demo are frequently requested services. The city processes permits in person at the development services center.
Compton,Los Angeles,90220,compton,33.8958,-118.2201,"Lynwood, Carson, Long Beach",City of Compton Building & Safety,(310) 605-5540,comptoncity.org/building,"Downtown Compton, Richland Farms, Northeast Compton, Central Compton",Compton is undergoing significant revitalization. Many older properties have aging infrastructure and pre-1980 construction requiring asbestos surveys. C&S Demolition has experience with demolition projects supporting both residential renovation and commercial redevelopment in Compton.
Carson,Los Angeles,90745,carson,33.8317,-118.2820,"Compton, Torrance, Gardena",City of Carson Building & Safety,(310) 830-7600,carson.ca.us/building,"South Carson, Dominguez Hills, Central Carson, North Carson",Carson is a South Bay industrial and residential city. The city has a mix of single-family homes and significant light industrial. Many residential properties have aging pools from the 1970s-80s. Carson's permit office is efficient and familiar with demolition projects.
Hawthorne,Los Angeles,90250,hawthorne,33.9164,-118.3525,"Inglewood, Lawndale, El Segundo",City of Hawthorne Building Division,(310) 349-2970,cityofhawthorne.org/building,"Holly Glen, Bodger Park, Downtown Hawthorne, Ramona area",Hawthorne is a dense South Bay city near LAX. Many older residential properties from the 1950s-1960s have aged out and are being redeveloped. Airport proximity means some properties are in noise impact zones. Standard residential demolitions proceed through the city's building department.
Whittier,Los Angeles,90601,whittier,33.9792,-118.0328,"La Habra, Norwalk, Pico Rivera",City of Whittier Building & Safety,(562) 567-9320,cityofwhittier.org/building,"Uptown Whittier, East Whittier, Penn Park, Friendly Hills",Whittier is a historic city in the San Gabriel Valley. The uptown area has older commercial and mixed-use buildings. Friendly Hills is a hillside residential area where grading permits accompany demo permits for slope work. Many homes have mid-century construction with potential asbestos materials.
Arcadia,Los Angeles,91006,arcadia,34.1397,-118.0353,"Monrovia, Temple City, Pasadena",City of Arcadia Building & Safety,(626) 574-5416,arcadiaca.gov/building,"Santa Anita, Baldwin Stocker, Rancho Santa Anita, Historic Arcadia","Arcadia is known for its large residential lots and strong real estate market. Many properties are being torn down and rebuilt, making demolition services high-demand. The city processes permits efficiently. Large lot teardowns are common in the Baldwin Stocker and Rancho Santa Anita areas."
Monrovia,Los Angeles,91016,monrovia,34.1442,-117.9997,"Arcadia, Duarte, Azusa",City of Monrovia Building & Safety,(626) 932-5571,ci.monrovia.ca.us/building,"Old Town Monrovia, Hillside Monrovia, Wild Rose Heights, Central Monrovia",Monrovia has a charming old town district and hillside residential areas. Hillside properties require grading permits for demo work. Old Town properties may have historic significance requiring additional review. The city is approximately 30-35 minutes from C&S's Long Beach base.
Baldwin Park,Los Angeles,91706,baldwin-park,34.0853,-117.9608,"El Monte, West Covina, Covina",City of Baldwin Park Building & Safety,(626) 960-4011,baldwinpark.com/building,"Downtown Baldwin Park, Merced, Maine-Puente, Badillo area",Baldwin Park is a dense residential city with older housing stock primarily from the 1950s-1970s. Pre-demolition asbestos surveys are frequently needed. The city has a standard permit process with typical 2-week processing times for residential demolitions.
Covina,Los Angeles,91722,covina,34.0900,-117.8903,"West Covina, Baldwin Park, Glendora",City of Covina Building & Safety,(626) 858-7220,covinaca.gov/building,"Charter Oak, Downtown Covina, South Covina, Covina Hills",Covina is a San Gabriel Valley community with mixed residential density. Many properties from the 1950s-1980s have aging pools and detached structures. The city processes permits at the public counter in City Hall. Demolitions typically take 2-3 weeks for permit approval.
Diamond Bar,Los Angeles,91765,diamond-bar,34.0286,-117.8103,"Pomona, Walnut, Rowland Heights",City of Diamond Bar Building & Safety,(909) 839-7020,diamondbarca.gov/building,"Diamond Bar Village, Country Estates, Brea Canyon, Gateway Corporate Center",Diamond Bar is a planned community with hillside residential areas and active HOAs. Many properties are on sloped lots requiring grading permits alongside demo permits. HOA approval is required for exterior demolition in most neighborhoods. The city borders Pomona and Walnut.
Azusa,Los Angeles,91702,azusa,34.1336,-117.9076,"Covina, Glendora, Baldwin Park",City of Azusa Building & Safety,(626) 812-5233,ci.azusa.ca.us/building,"Downtown Azusa, Gladstone, Rancho Azusa, Foothill area",Azusa is at the foot of the San Gabriel Mountains. The city has older industrial and residential properties. Many properties near the river channel are in flood zones requiring additional permits. Residential demolitions proceed through the Building & Safety department on 5th Street.
Glendora,Los Angeles,91740,glendora,34.1361,-117.8653,"Azusa, Covina, San Dimas",City of Glendora Building & Safety,(626) 914-8218,ci.glendora.ca.us/building,"Downtown Glendora, Charter Oak, Glendora Village, North Glendora",Glendora is a foothill community with a charming historic village and hillside residential areas. The city has an active permit department and is known for its excellent public services. Hillside properties require additional permits. Many 1960s-1980s homes have older pools and detached structures.
San Dimas,Los Angeles,91773,san-dimas,34.1067,-117.8075,"Glendora, La Verne, Pomona",City of San Dimas Building & Safety,(909) 394-6250,cityofsandimas.com/building,"Downtown San Dimas, Via Verde, Lone Hill, Shady Oaks",San Dimas is a small foothill community with a mix of residential and commercial. Via Verde is a planned community with HOA requirements. The city has a small building department with personalized service. Located at the junction of the 210 and 57 freeways.
La Verne,Los Angeles,91750,la-verne,34.1008,-117.7678,"San Dimas, Pomona, Claremont",City of La Verne Building & Safety,(909) 596-8726,cityoflaverne.org/building,"University of La Verne area, Old Town La Verne, Wheeler Avenue Corridor, Emerald Heights",La Verne is a small foothill city adjacent to Pomona and San Dimas. The city has a historic old town area and a University of La Verne campus. Residential demolitions are straightforward. Approximately 35-40 minutes from Long Beach.
